"shRanBP6_1.CEL"	"shRanBP6_2.CEL"	"shRanBP6_3.CEL"	"shRanBP6_DOX_1.CEL"	"shRanBP6_DOX_2.CEL"	"shRanBP6_DOX_3.CEL"
"ADAMTS5"	3.5993	3.6453	3.5966	3.581	3.5668	3.6397
"ADAMTS6"	4.5635	4.318	4.523	4.4447	4.3587	4.6274
"ADAMTS7"	4.7526	4.7739	4.8331	4.75	4.8441	4.7789
"ADAMTS8"	4.758	4.6687	4.831	4.7163	4.9533	4.6204
"ADAMTS9"	4.7286	4.3985	4.6577	4.5135	4.5415	4.6552
"ADAMTS9-AS1"	3.2513	3.6229	3.4942	3.2968	3.233	3.2568
"ADAMTS9-AS2"	3.98	3.9108	3.9812	3.8744	3.9398	3.9108
"ADAMTSL1"	4.0306	4.211	4.1614	3.9731	4.25	4.0684
"ADAMTSL2"	5.0062	4.7617	4.7946	4.6512	4.7617	4.5651
"ADAMTSL3"	5.1479	5.0457	5.2606	5.1715	5.0611	5.1714
"ADAMTSL4"	4.8947	4.819	4.8528	4.8659	4.8839	4.7191
"ADAMTSL5"	6.2237	5.8969	6.034	5.5274	5.8421	5.7559
"ADAP1"	7.475	7.4874	7.5364	7.6327	7.5294	7.7525
"ADAP2"	7.5345	7.5128	7.5516	7.7136	7.7025	7.6435
"ADAR"	11.6178	11.5425	11.5655	11.6924	11.6525	11.6447
"ADARB1"	5.7758	5.7681	5.6173	5.5569	5.7304	5.5314
"ADARB2"	4.8817	4.7469	4.8298	4.6724	4.7753	4.7758
"ADARB2-AS1"	6.7152	6.7885	6.7245	6.736	6.9541	6.9094
"ADAT1"	8.8187	8.6492	8.738	9.0206	8.9096	8.876
"ADAT2"	8.4515	8.5635	8.5947	8.4	8.3736	8.3722
"ADCK1"	6.64	6.5207	6.6765	7.3244	7.0799	7.0516
"ADCK2"	9.01	8.9574	8.8841	9.0529	9.0331	9.0071
"ADCK3"	8.1934	8.1903	8.2346	8.1659	8.1027	8.2087
"ADCK4"	6.2002	6.0741	5.9668	6.021	6.03	6.03
"ADCK5"	5.8793	6.046	5.6921	6.1001	5.9741	5.9741
"ADCY1"	5.2084	5.1531	5.3487	5.3023	5.4426	5.7042
"ADCY10"	4.1945	3.967	4.11	4.0421	4.0612	4.0653
"ADCY10P1"	5.5452	5.745	5.5703	5.9009	5.9683	6.1704
"ADCY2"	5.0151	4.8942	5.0972	5.0612	5.0356	5.1055
"ADCY3"	7.9868	7.8557	7.8816	8.034	7.973	8.0177
"ADCY4"	6.5385	6.3545	6.4494	6.2419	6.1644	6.4141
"ADCY5"	5.4901	5.4706	5.5729	5.238	5.5344	5.631
"ADCY6"	7.2633	7.2292	7.1257	7.618	7.6809	7.7505
"ADCY7"	5.279	5.4164	5.3075	5.6408	5.7014	5.7481
"ADCY8"	4.013	3.8605	4.0035	3.8673	3.8521	4.0396
"ADCY9"	5.3549	4.9664	5.13	5.1048	5.02	5.1139
"ADCYAP1"	4.0993	4.153	4.3409	4.0985	4.1668	4.1392
"ADCYAP1R1"	5.276	5.1834	5.224	5.1523	5.2314	5.2362
"ADD1"	8.1747	8.1699	8.154	8.2108	8.2263	8.2684
"ADD2"	6.764	6.7127	6.7058	7.2392	7.0938	6.9565
"ADD3"	9.8219	9.8449	9.7867	10.5586	10.4723	10.5253
"ADD3-AS1"	4.7299	4.6305	4.8402	4.7859	4.6639	4.7859
"ADGB"	3.2402	3.3915	3.3697	3.2731	3.1433	3.155
"ADGRA1"	5.7551	5.6941	5.7774	5.6923	5.6838	5.8072
"ADGRA2"	5.8981	5.8167	5.856	6.6788	6.8177	6.9297
"ADGRA3"	3.5674	3.7672	3.637	3.7103	3.6659	3.7801
"ADGRB1"	5.5608	5.3699	5.537	5.5407	5.5143	5.3153
"ADGRB2"	6.4573	6.5574	6.517	6.73	6.6347	6.6912
"ADGRB3"	5.002	5.1725	5.0639	5.0905	4.9956	4.9043
"ADGRD1"	4.1171	4.1267	4.0817	3.8009	3.7822	3.7554
"ADGRD2"	5.2415	5.303	5.0289	4.9975	4.8652	5.0308
"ADGRE1"	4.3428	4.3513	4.7081	4.5761	4.5061	4.5293
"ADGRE2"	3.588	3.7553	3.6541	3.6079	3.628	3.5834
"ADGRE3"	4.0346	4.1031	3.782	3.611	4.0224	3.8188
"ADGRE5"	8.1566	8.1943	7.9863	7.7366	7.8714	7.625
"ADGRF1"	3.7432	3.6532	3.7294	3.6704	3.7745	3.7368
"ADGRF2"	3.6072	3.6764	3.6954	3.5556	3.7051	3.5921
"ADGRF3"	3.9986	3.9374	4.1105	4.0047	4.0532	4.0834
"ADGRF4"	3.974	3.9071	3.8275	3.9043	3.9149	3.8105
"ADGRF5"	3.9053	3.9846	3.9752	3.8709	3.9698	3.9887
"ADGRG1"	5.4657	5.5488	5.7151	5.4857	5.5529	5.4857
"ADGRG2"	5.8732	5.6954	5.6246	6.0411	5.8771	5.9682
"ADGRG3"	4.6407	4.6038	4.5935	4.4727	4.697	4.5307
"ADGRG4"	3.772	3.7455	3.7816	3.6079	3.7938	3.9186
"ADGRG5"	5.9246	5.7095	5.74	5.7437	5.8069	5.7589
"ADGRG6"	3.8132	4.0322	4.1037	3.771	4.0944	3.9859
"ADGRG7"	3.6177	3.4428	3.3963	3.4112	3.4126	3.4779
"ADGRL1"	7.3675	7.2251	7.1531	7.4533	7.3143	7.2153
"ADGRL2"	6.528	6.524	6.475	6.8335	6.8143	6.7844
"ADGRL3"	6.3796	6.3819	6.3464	7.559	7.2944	7.4118
"ADGRL4"	3.406	3.0727	3.3753	3.2407	3.1934	3.3697
"ADGRV1"	3.8228	3.6843	3.7627	3.9408	3.8554	4.1986
"ADH1A"	3.5476	3.3742	3.5912	3.6192	3.521	3.5242
"ADH1B"	3.2322	3.2664	3.3022	3.174	3.2619	3.2406
"ADH1C"	3.8081	3.7618	3.8783	3.8504	3.9523	3.8393
"ADH4"	3.5103	3.3819	3.431	3.3642	3.3713	3.3384
"ADH5"	10.728	10.6532	10.6533	10.896	10.8571	10.8567
"ADH6"	4.1076	3.9182	4.1652	3.9526	4.115	4.2572
"ADH7"	4.7355	4.526	4.2131	4.4958	4.6224	4.5596
"ADHFE1"	6.4886	6.6208	6.6428	6.4119	6.8177	6.5249
"ADI1"	9.9901	9.9064	9.8796	11.4203	11.1732	11.4387
"ADIG"	6.342	6.3866	6.2644	6.0425	6.1436	6.2958
"ADIPOQ"	3.4186	3.533	3.4241	3.3916	3.5258	3.5955
